Saison,Équipes,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38
2021-2022,AS Saint-Etienne,11,10,11,17,19,19,19,20,20,20,20,20,19,19,20,19,20,20,20,20,20,20,20,18,16,19,17,18,18,18,18,17,18,18,18,18,19,18
2021-2022,OGC Nice,15,4,7,5,4,4,6,4,3,4,3,2,3,2,3,4,4,4,2,2,2,2,3,3,3,3,2,3,4,5,5,4,6,5,5,4,6,5
2021-2022,Stade de Reims,15,12,12,15,10,11,15,10,14,15,16,17,16,15,14,13,14,14,14,14,14,14,14,14,14,13,13,12,12,13,13,13,13,13,12,12,12,12
2021-2022,Montpellier Hérault SC,17,13,8,11,9,8,10,14,13,13,13,11,6,10,11,10,9,5,5,6,9,6,7,11,9,11,11,11,11,11,11,11,11,12,13,13,13,13
2021-2022,ESTAC Troyes,18,19,18,20,13,13,17,17,17,16,15,14,14,17,17,15,15,17,15,15,15,16,16,16,17,17,16,15,15,15,15,15,16,16,14,15,15,15
2021-2022,FC Girondins de Bordeaux,19,16,15,19,20,17,16,16,16,17,17,16,18,16,16,18,18,16,16,17,19,17,19,20,20,20,20,20,20,20,19,19,19,19,19,20,20,20
2021-2022,RC Strasbourg Alsace,19,20,20,13,15,12,9,12,12,8,12,7,8,8,8,7,6,7,6,4,4,4,4,4,4,5,5,5,5,4,4,5,4,6,6,6,5,6
2022-2023,Paris Saint-Germain FC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-2023,Lille OSC,2,3,12,6,8,6,8,7,8,7,7,6,7,7,7,6,7,7,6,7,6,6,5,6,6,6,6,6,5,5,5,5,5,5,5,5,4,5
2022-2023,Olympique de Marseille,2,3,3,2,3,2,2,2,2,3,4,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3
2022-2023,RC Lens,4,7,2,3,2,3,3,4,4,4,3,2,2,2,2,2,2,2,2,2,3,3,4,4,3,3,3,3,2,2,3,3,3,2,2,2,2,2
2022-2023,Montpellier Hérault SC,4,9,13,8,6,7,10,9,10,10,11,13,14,14,13,12,14,15,15,14,14,15,14,14,14,13,13,11,11,13,13,13,12,12,12,12,12,12
2022-2023,AS Monaco FC,6,6,11,12,16,10,7,5,5,5,6,7,6,5,6,5,5,5,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6,6
2022-2023,Olympique Lyonnais,7,8,5,5,4,4,5,6,7,9,10,8,8,8,8,8,8,8,9,9,10,9,9,9,9,10,10,10,9,7,7,7,7,7,7,7,7,7
2022-2023,FC Lorient,8,2,4,4,5,5,4,3,3,2,2,3,4,6,5,7,6,6,7,6,7,7,8,7,8,9,9,8,10,10,10,11,10,9,9,10,10,10
2022-2023,OGC Nice,9,13,15,18,15,15,11,12,13,13,13,12,10,9,9,9,11,10,10,10,8,8,7,8,7,7,7,7,8,9,9,10,9,8,10,9,9,9
2022-2023,Toulouse FC,10,5,7,11,13,16,12,13,11,11,9,10,11,12,12,13,12,12,12,12,12,12,11,11,11,12,11,12,13,12,12,12,13,13,13,13,13,13
2022-2023,Angers SCO,11,11,17,17,19,19,19,14,15,17,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2022-2023,FC Nantes,11,12,16,10,10,13,15,15,16,19,14,15,15,16,15,16,15,14,13,13,13,13,13,13,13,14,14,14,14,14,15,16,17,17,17,17,17,16
2022-2023,Stade Brestois 29,13,14,8,14,17,17,18,19,18,20,20,17,18,19,16,17,17,17,17,16,15,14,15,16,18,15,16,16,15,16,16,17,14,15,15,14,14,14
2022-2023,ESTAC Troyes,13,19,20,15,11,11,13,10,12,12,12,11,12,13,14,14,13,13,14,15,16,16,16,17,19,19,19,18,18,18,18,18,18,19,19,18,18,19
2022-2023,AC Ajaccio,15,16,18,20,20,20,20,20,20,18,18,19,19,17,18,15,16,16,18,18,17,18,18,19,17,18,18,19,19,19,19,19,19,18,18,19,19,18
2022-2023,RC Strasbourg Alsace,16,15,14,16,18,18,17,18,19,14,17,16,17,18,19,19,19,19,16,17,18,17,17,15,15,16,15,15,16,17,17,15,16,14,14,15,15,15
2022-2023,Stade Rennais FC,17,16,9,13,7,9,6,8,6,6,5,4,3,3,3,4,4,4,4,5,5,5,6,5,5,5,5,5,6,6,6,6,6,6,6,6,5,4
2022-2023,AJ Auxerre,18,18,10,7,9,12,14,16,14,16,16,18,16,15,17,18,18,18,19,19,19,19,19,18,16,17,17,17,17,15,14,14,15,16,16,16,16,17
2022-2023,Stade de Reims,18,20,19,19,14,14,16,17,17,15,15,14,13,11,11,10,10,11,11,11,11,10,10,10,10,8,8,9,7,8,8,8,11,10,11,11,11,11
2022-2023,Clermont Foot 63,20,10,6,9,12,8,9,11,9,8,8,9,9,10,10,11,9,9,8,8,9,11,12,12,12,11,12,13,12,11,11,9,8,11,8,8,8,8
